Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,SCA,SCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,GCA,GCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,Spiele
84,Timothy Chandler\Timothy-Chandler,us USA,DF,Eint Frankfurt,30,1990,4.8,1.46,146,1.04,0.21,0.21,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
85,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,MFFW,Freiburg,26,1994,2.4,1.67,167,1.25,0.00,0.00,0.00,0.42,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
86,Tahith Chong\Tahith-Chong,nl NED,FWMF,Werder Bremen,20,1999,4.3,3.02,303,2.33,0.00,0.23,0.00,0.23,0.23,0.23,023,0.23,0.00,0.00,0.00,0.00,0.00,Spiele
87,Darko Churlinov\Darko-Churlinov,mk MKD,DFFW,Stuttgart,20,2000,2.4,2.50,250,2.50,0.00,0.00,0.00,0.00,0.00,0.83,083,0.83,0.00,0.00,0.00,0.00,0.00,Spiele
88,Tim Civeja\Tim-Civeja,de GER,MFDF,Augsburg,18,2002,0.4,2.50,265,2.50,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
89,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,24,1996,19.5,4.51,452,3.49,0.00,0.62,0.31,0.10,0.00,0.92,092,0.67,0.00,0.15,0.05,0.05,0.00,Spiele
90,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Hertha BSC,27,1993,17.1,3.10,310,1.87,0.00,0.29,0.29,0.58,0.06,0.29,029,0.12,0.00,0.00,0.06,0.12,0.00,Spiele
91,Sergio Córdova\Sergio-Cordova,ve VEN,FWMF,Arminia,22,1997,12.1,2.40,239,1.74,0.00,0.25,0.17,0.17,0.08,0.17,017,0.17,0.00,0.00,0.00,0.00,0.00,Spiele
92,Danny da Costa\Danny-da-Costa,de GER,DF,Mainz 05,27,1993,13.4,1.64,164,1.27,0.00,0.22,0.00,0.07,0.07,0.22,022,0.15,0.00,0.07,0.00,0.00,0.00,Spiele
93,Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,27,1993,1.2,2.50,245,1.67,0.00,0.83,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
94,Douglas Costa\Douglas-Costa,br BRA,FWMF,Bayern Munich,29,1990,3.6,4.72,478,2.22,1.94,0.56,0.00,0.00,0.00,0.56,056,0.28,0.00,0.28,0.00,0.00,0.00,Spiele
95,Tanguy Coulibaly\Tanguy-Coulibaly,fr FRA,DFFW,Stuttgart,19,2001,16.7,2.28,227,1.44,0.00,0.48,0.12,0.18,0.06,0.18,018,0.18,0.00,0.00,0.00,0.00,0.00,Spiele
96,Mickaël Cuisance\Mickael-Cuisance,fr FRA,FW,Bayern Munich,20,1999,0.2,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
97,Matheus Cunha\Matheus-Cunha,br BRA,FWMF,Hertha BSC,21,1999,23.9,4.39,440,1.76,1.17,0.59,0.33,0.33,0.21,0.38,038,0.21,0.04,0.00,0.08,0.04,0.00,Spiele
98,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,30,1990,25.1,0.64,064,0.60,0.00,0.04,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
99,Moanes Dabour\Moanes-Dabour,il ISR,FW,Hoffenheim,28,1992,11.1,2.34,234,1.71,0.00,0.27,0.09,0.27,0.00,0.27,027,0.27,0.00,0.00,0.00,0.00,0.00,Spiele
100,Finn Dahmen\Finn-Dahmen,de GER,TW,Mainz 05,22,1998,3.0,0.33,033,0.33,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
101,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,24,1996,14.0,2.57,258,1.93,0.00,0.21,0.21,0.07,0.14,0.36,036,0.29,0.00,0.00,0.00,0.00,0.07,Spiele
102,Leon Dajaku\Leon-Dajaku,de GER,FW,Union Berlin,19,2001,0.4,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
103,Tiago Dantas\Tiago-Dantas,pt POR,MF,Bayern Munich,19,2000,0.8,1.25,130,0.00,1.25,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
104,Márton Dárdai\Marton-Dardai,de GER,DFMF,Hertha BSC,18,2002,9.1,1.10,110,0.77,0.33,0.00,0.00,0.00,0.00,0.11,011,0.00,0.11,0.00,0.00,0.00,0.00,Spiele
105,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,29,1990,21.1,3.13,312,2.27,0.52,0.14,0.00,0.19,0.00,0.43,043,0.43,0.00,0.00,0.00,0.00,0.00,Spiele
106,Alphonso Davies\Alphonso-Davies,ca CAN,DF,Bayern Munich,19,2000,19.6,2.40,240,2.09,0.00,0.15,0.00,0.15,0.00,0.26,026,0.15,0.00,0.05,0.00,0.05,0.00,Spiele
107,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,28,1991,14.3,1.12,112,0.84,0.00,0.00,0.07,0.07,0.14,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
108,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Leverkusen,27,1993,19.4,3.66,366,2.06,0.98,0.26,0.26,0.10,0.00,0.31,031,0.10,0.10,0.05,0.05,0.00,0.00,Spiele
109,Ermedin Demirovi?\Ermedin-Demirovic,ba BIH,FW,Freiburg,22,1998,16.6,2.05,204,1.20,0.00,0.18,0.18,0.36,0.12,0.66,066,0.36,0.00,0.06,0.12,0.06,0.06,Spiele
110,Emmanuel Dennis\Emmanuel-Dennis,ng NGA,FW,Köln,22,1997,5.3,1.89,190,1.51,0.00,0.19,0.00,0.19,0.00,0.19,019,0.19,0.00,0.00,0.00,0.00,0.00,Spiele
111,Mike van der Hoorn\Mike-van-der-Hoorn,nl NED,DF,Arminia,27,1992,15.1,0.40,040,0.33,0.07,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
112,Moussa Diaby\Moussa-Diaby,fr FRA,FWMF,Leverkusen,21,1999,26.5,2.94,294,2.11,0.04,0.53,0.19,0.04,0.04,0.64,064,0.42,0.00,0.15,0.08,0.00,0.00,Spiele
113,Daniel Didavi\Daniel-Didavi,de GER,FWMF,Stuttgart,30,1990,10.8,3.15,315,2.69,0.28,0.00,0.09,0.09,0.00,0.46,046,0.28,0.09,0.00,0.09,0.00,0.00,Spiele
114,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FWMF,Hertha BSC,22,1998,5.9,2.54,255,1.53,0.34,0.51,0.00,0.00,0.17,0.51,051,0.34,0.00,0.00,0.00,0.00,0.17,Spiele
115,Eren Dinkçi\Eren-Dinkci,de GER,FWMF,Werder Bremen,18,2001,1.2,2.50,250,2.50,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
116,Ritsu Doan\Ritsu-Doan,jp JPN,MFFW,Arminia,22,1998,30.8,2.89,289,1.30,0.68,0.58,0.13,0.16,0.03,0.16,016,0.10,0.00,0.06,0.00,0.00,0.00,Spiele
117,Ji Dong-won\Ji-Dong-won,kr KOR,FWDF,Mainz 05,29,1991,0.7,2.86,290,2.86,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
118,Bas Dost\Bas-Dost,nl NED,FW,Eint Frankfurt,31,1989,9.1,1.98,198,1.87,0.00,0.00,0.11,0.00,0.00,0.33,033,0.33,0.00,0.00,0.00,0.00,0.00,Spiele
119,Aleksandar Dragovi?\Aleksandar-Dragovic,at AUT,DF,Leverkusen,29,1991,12.6,1.27,127,0.95,0.16,0.00,0.08,0.00,0.08,0.08,008,0.08,0.00,0.00,0.00,0.00,0.00,Spiele
