Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,SCA,SCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,GCA,GCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,Spiele
494,Nick Woltemade\Nick-Woltemade,de GER,FWMF,Werder Bremen,18,2002,1.6,3.13,306,1.88,0.00,0.00,0.63,0.63,0.00,0.63,061,0.63,0.00,0.00,0.00,0.00,0.00,Spiele
495,Jeong Woo-yeong\Jeong-Woo-yeong,kr KOR,FWMF,Freiburg,20,1999,9.1,2.97,295,2.64,0.00,0.00,0.22,0.11,0.00,0.11,011,0.11,0.00,0.00,0.00,0.00,0.00,Spiele
496,Joscha Wosz\Joscha-Wosz,de GER,DFFW,RB Leipzig,18,2002,0.4,2.50,265,2.50,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
497,Reinhold Yabo\Reinhold-Yabo,de GER,MFFW,Arminia,28,1992,7.2,0.97,097,0.69,0.00,0.00,0.00,0.28,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
498,Amin Younes\Amin-Younes,de GER,MFFW,Eint Frankfurt,26,1993,15.5,3.48,349,2.19,0.32,0.52,0.19,0.26,0.00,0.45,045,0.26,0.06,0.13,0.00,0.00,0.00,Spiele
499,Dan-Axel Zagadou\Dan-Axel-Zagadou,fr FRA,DF,Dortmund,21,1999,3.1,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
500,Denis Zakaria\Denis-Zakaria,ch SUI,MFDF,M'Gladbach,23,1996,15.8,1.14,114,0.89,0.00,0.13,0.13,0.00,0.00,0.06,006,0.06,0.00,0.00,0.00,0.00,0.00,Spiele
501,Deyovaisio Zeefuik\Deyovaisio-Zeefuik,nl NED,DFMF,Hertha BSC,22,1998,10.1,2.67,269,2.28,0.00,0.20,0.00,0.20,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
502,Robin Zentner\Robin-Zentner,de GER,TW,Mainz 05,25,1994,31.0,0.13,013,0.03,0.06,0.00,0.03,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
503,Ron-Robert Zieler\Ron-Robert-Zieler,de GER,TW,Köln,31,1989,0.6,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
504,Joshua Zirkzee\Joshua-Zirkzee,nl NED,FW,Bayern Munich,19,2001,1.0,2.00,196,2.00,0.00,0.00,0.00,0.00,0.00,0.00,000,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
505,Steven Zuber\Steven-Zuber,ch SUI,DFMF,Eint Frankfurt,28,1991,6.5,3.38,338,2.92,0.00,0.15,0.00,0.15,0.15,0.62,062,0.62,0.00,0.00,0.00,0.00,0.00,Spiele
