Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Tkl,TklG,Def. 1/3,Mit. 1/3,Off. 1/3,Tkl,Ver,Tkl%,Ausg,Pressen,Erf.,%,Def. 1/3,Mit. 1/3,Off. 1/3,Blocks,Sc,Schuss abgewehrt,Pass,Abg,Ang+Abf,Aufkl.,Fe.,Spiele
391,Chris Richards\Chris-Richards,us USA,DF,Hoffenheim,20,2000,10.5,2.29,1.24,1.43,0.76,0.10,0.67,1.24,538,0.57,12.8,5.33,418,6.38,5.33,1.05,1.81,0.48,0.00,1.33,1.24,3.52,6.86,0.10,Spiele
392,Chris Richards\Chris-Richards,us USA,DF,Bayern Munich,20,2000,1.0,1.00,1.00,1.00,0.00,0.00,0.00,0.00,,0.00,10.0,2.00,200,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,Spiele
393,Marco Richter\Marco-Richter,de GER,FWMF,Augsburg,22,1997,15.7,1.21,0.57,0.13,0.57,0.51,0.32,0.89,357,0.57,16.2,3.50,216,3.25,8.09,4.90,0.83,0.00,0.00,0.83,0.57,1.78,0.64,0.00,Spiele
394,Marc Roca\Marc-Roca,es ESP,MF,Bayern Munich,23,1996,2.0,2.50,2.00,1.00,1.00,0.50,1.50,3.50,429,2.00,17.5,6.50,371,4.50,7.50,5.50,2.00,0.50,0.00,1.50,0.50,3.00,1.50,0.00,Spiele
395,Sebastian Rode\Sebastian-Rode,de GER,MF,Eint Frankfurt,29,1990,18.1,2.87,1.66,1.27,1.05,0.55,0.83,2.87,288,2.04,24.0,6.24,260,8.67,11.9,3.43,2.27,0.17,0.00,2.10,2.38,5.25,1.16,0.00,Spiele
396,Jérôme Roussillon\Jerome-Roussillon,fr FRA,DF,Wolfsburg,27,1993,13.7,1.75,1.02,1.09,0.58,0.07,0.80,1.61,500,0.80,13.9,5.11,366,6.28,5.77,1.90,1.68,0.07,0.00,1.61,0.95,2.70,2.63,0.00,Spiele
397,Sebastian Rudy\Sebastian-Rudy,de GER,DF,Schalke 04,30,1990,2.0,2.00,0.50,1.50,0.00,0.50,1.00,3.50,286,2.50,15.5,4.50,290,7.00,5.50,3.00,5.50,2.00,0.50,3.50,0.00,2.00,3.00,0.00,Spiele
398,Sebastian Rudy\Sebastian-Rudy,de GER,MFDF,Hoffenheim,30,1990,18.6,2.80,1.61,1.24,1.08,0.48,0.97,2.42,400,1.45,19.6,6.56,335,5.22,9.46,4.89,2.15,0.22,0.00,1.94,0.43,3.23,0.86,0.05,Spiele
399,Georginio Rutter\Georginio-Rutter,fr FRA,FW,Hoffenheim,18,2002,2.7,1.85,0.74,1.48,0.37,0.00,0.00,0.74,00,0.74,21.9,5.56,254,3.33,9.63,8.89,0.37,0.00,0.00,0.37,0.37,2.22,1.11,0.00,Spiele
400,Julian Ryerson\Julian-Ryerson,no NOR,DFMF,Union Berlin,22,1997,11.9,1.85,0.84,0.67,0.92,0.25,0.84,1.43,588,0.59,15.5,4.79,310,4.96,7.90,2.61,2.18,0.17,0.00,2.02,1.09,2.94,1.85,0.08,Spiele
401,Frederik Rønnow\Frederik-Ronnow,dk DEN,TW,Schalke 04,27,1992,10.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
402,João Victor Santos Sá\Joao-Victor-Santos-Sa,br BRA,FW,Wolfsburg,26,1994,5.2,3.27,1.54,0.77,1.73,0.77,0.96,1.92,500,0.96,25.0,7.88,315,5.38,10.0,9.62,2.88,0.00,0.00,2.88,1.35,4.62,0.38,0.00,Spiele
403,Marcel Sabitzer\Marcel-Sabitzer,at AUT,MF,RB Leipzig,26,1994,22.5,1.69,1.20,0.76,0.84,0.09,0.40,1.42,281,1.02,13.5,4.53,337,3.56,7.11,2.80,0.80,0.13,0.00,0.67,1.60,3.29,1.24,0.00,Spiele
404,Roland Sallai\Roland-Sallai,hu HUN,MFFW,Freiburg,23,1997,18.5,1.14,0.70,0.43,0.59,0.11,0.22,0.65,333,0.43,16.6,3.68,221,2.65,8.97,4.97,0.97,0.11,0.00,0.86,0.54,1.68,0.59,0.00,Spiele
405,Lazar Samardzic\Lazar-Samardzic,de GER,MFFW,RB Leipzig,18,2002,2.2,3.64,2.73,1.36,1.82,0.45,1.36,5.45,250,4.09,40.0,10.9,273,13.2,19.5,7.27,2.73,0.00,0.00,2.73,2.27,5.91,0.45,0.00,Spiele
406,Diadie Samassékou\Diadie-Samassekou,ml MLI,MF,Hoffenheim,24,1996,28.5,2.63,1.58,0.91,1.51,0.21,0.91,2.95,310,2.04,16.3,5.37,330,5.05,9.12,2.11,1.82,0.42,0.00,1.40,2.39,5.02,2.67,0.00,Spiele
407,Jadon Sancho\Jadon-Sancho,eng ENG,FWMF,Dortmund,20,2000,22.9,0.70,0.48,0.17,0.31,0.22,0.35,0.83,421,0.48,11.1,4.06,365,1.70,4.54,4.89,1.66,0.04,0.00,1.62,0.61,1.31,0.35,0.00,Spiele
408,Leroy Sané\Leroy-Sane,de GER,FWMF,Bayern Munich,24,1996,20.1,1.54,1.04,0.35,0.45,0.75,0.35,1.34,259,1.00,19.5,6.97,357,3.83,8.11,7.56,1.59,0.00,0.00,1.59,0.60,2.14,0.25,0.00,Spiele
409,Salif Sané\Salif-Sane,sn SEN,DF,Schalke 04,29,1990,11.9,1.34,0.59,0.92,0.34,0.08,0.50,1.34,375,0.84,8.49,3.03,356,5.21,2.86,0.42,3.28,1.34,0.00,1.93,1.51,2.86,7.06,0.00,Spiele
410,Mohamed Sankoh\Mohamed-Sankoh,nl NED,FW,Stuttgart,16,2003,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,45.0,0.00,00,10.0,20.0,15.0,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,Spiele
411,Baptiste Santamaria\Baptiste-Santamaria,fr FRA,MF,Freiburg,25,1995,24.5,2.61,1.71,1.02,1.22,0.37,0.57,2.41,237,1.84,20.9,5.84,279,6.20,11.4,3.31,2.12,0.33,0.00,1.80,2.00,4.61,1.51,0.00,Spiele
412,Josh Sargent\Josh-Sargent,us USA,FWMF,Werder Bremen,20,2000,27.8,1.29,1.01,0.47,0.58,0.25,0.29,1.22,235,0.94,19.7,5.68,288,3.49,9.50,6.76,1.83,0.22,0.00,1.62,0.72,2.01,1.26,0.00,Spiele
413,Bouna Sarr\Bouna-Sarr,gn GUI,DF,Bayern Munich,28,1992,5.0,2.80,1.80,1.20,1.00,0.60,0.40,0.80,500,0.40,14.0,3.80,271,4.40,7.40,2.20,0.60,0.00,0.00,0.60,0.80,3.60,2.80,0.20,Spiele
414,Patrik Schick\Patrik-Schick,cz CZE,FW,Leverkusen,24,1996,20.7,0.68,0.39,0.05,0.34,0.29,0.05,0.34,143,0.29,11.1,2.90,262,0.24,4.25,6.57,0.48,0.29,0.00,0.19,0.10,0.77,0.82,0.00,Spiele
415,Sven Schipplock\Sven-Schipplock,de GER,FWMF,Arminia,31,1988,8.3,1.45,0.96,0.24,0.72,0.48,0.24,3.49,69,3.25,40.1,9.40,234,5.42,21.2,13.5,1.57,0.36,0.00,1.20,0.36,1.81,1.57,0.00,Spiele
416,Xaver Schlager\Xaver-Schlager,at AUT,MF,Wolfsburg,22,1997,29.2,3.08,2.09,0.96,1.78,0.34,0.79,2.43,324,1.64,20.7,7.33,354,5.55,11.1,4.04,1.82,0.27,0.00,1.54,1.61,4.69,1.82,0.00,Spiele
417,Keven Schlotterbeck\Keven-Schlotterbeck,de GER,DF,Freiburg,23,1997,18.4,1.36,0.65,0.60,0.76,0.00,0.33,1.36,240,1.03,9.67,2.99,309,5.43,3.75,0.49,1.79,1.09,0.00,0.71,1.58,2.93,6.03,0.05,Spiele
418,Nico Schlotterbeck\Nico-Schlotterbeck,de GER,DF,Union Berlin,20,1999,14.3,2.38,1.40,1.05,1.12,0.21,0.77,1.47,524,0.70,12.6,4.41,350,5.87,6.01,0.70,1.47,0.35,0.00,1.12,2.52,4.90,4.48,0.07,Spiele
419,Jonathan Schmid\Jonathan-Schmid,fr FRA,DFMF,Freiburg,30,1990,26.6,1.39,1.02,0.56,0.56,0.26,0.34,1.05,321,0.71,11.6,3.53,304,4.06,5.04,2.52,2.07,0.49,0.00,1.58,0.83,2.22,1.88,0.00,Spiele
420,Romano Schmid\Romano-Schmid,at AUT,FWMF,Werder Bremen,20,2000,13.1,2.06,1.53,0.84,0.61,0.61,0.69,2.60,265,1.91,26.3,5.80,220,6.64,12.8,6.87,1.98,0.08,0.00,1.91,1.22,3.28,0.31,0.00,Spiele
421,Benno Schmitz\Benno-Schmitz,de GER,DF,Köln,25,1994,4.6,2.83,1.30,1.52,1.30,0.00,1.09,2.39,455,1.30,18.7,6.52,349,7.39,5.87,5.43,1.30,0.87,0.00,0.43,1.74,4.57,3.70,0.00,Spiele
422,Alessandro Schöpf\Alessandro-Schopf,at AUT,FWMF,Schalke 04,26,1994,10.5,1.43,1.14,0.57,0.86,0.00,0.48,1.43,333,0.95,20.2,6.00,297,6.38,9.33,4.48,2.00,0.10,0.00,1.90,0.67,2.10,0.48,0.00,Spiele
423,Nico Schulz\Nico-Schulz,de GER,DF,Dortmund,27,1993,6.8,1.47,1.32,0.59,0.44,0.44,0.00,1.76,00,1.76,13.2,4.85,367,4.12,5.44,3.68,1.62,0.59,0.00,1.03,2.06,3.53,2.94,0.00,Spiele
424,Alexander Schwolow\Alexander-Schwolow,de GER,TW,Hertha BSC,28,1992,26.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.12,0.08,667,0.12,0.00,0.00,0.04,0.00,0.00,0.04,0.00,0.00,0.12,0.04,Spiele
425,Christopher Scott\Christopher-Scott,de GER,FW,Bayern Munich,18,2002,0.4,5.00,2.50,0.00,2.50,2.50,0.00,0.00,,0.00,10.0,5.00,500,2.50,5.00,2.50,2.50,0.00,0.00,2.50,0.00,5.00,0.00,0.00,Spiele
426,Davie Selke\Davie-Selke,de GER,FW,Werder Bremen,25,1995,9.0,0.33,0.22,0.11,0.00,0.22,0.11,0.56,200,0.44,20.0,5.33,267,1.56,9.00,9.44,0.56,0.11,0.00,0.44,0.22,0.56,0.67,0.00,Spiele
427,Suat Serdar\Suat-Serdar,de GER,MF,Schalke 04,23,1997,21.7,2.67,1.66,0.69,1.66,0.32,0.69,1.98,349,1.29,16.3,5.12,314,4.79,9.17,2.30,1.80,0.28,0.00,1.52,1.06,3.73,1.20,0.05,Spiele
428,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Hoffenheim,20,2000,17.5,2.69,1.43,1.60,0.57,0.51,0.80,2.23,359,1.43,18.1,5.54,307,7.14,7.31,3.60,2.57,0.17,0.00,2.40,1.14,3.83,2.69,0.00,Spiele
429,Nils Seufert\Nils-Seufert,de GER,MFFW,Arminia,23,1997,3.8,2.89,2.11,0.00,1.84,1.05,0.53,2.63,200,2.11,22.9,5.26,230,3.68,12.4,6.84,1.05,0.26,0.00,0.79,0.53,3.42,1.58,0.00,Spiele
430,Tim Siersleben\Tim-Siersleben,de GER,DF,Wolfsburg,20,2000,0.4,5.00,0.00,5.00,0.00,0.00,2.50,5.00,500,2.50,10.0,0.00,00,7.50,2.50,0.00,2.50,0.00,0.00,2.50,2.50,7.50,10.0,0.00,Spiele
431,André Silva\Andre-Silva,pt POR,FW,Eint Frankfurt,24,1995,30.7,0.36,0.13,0.00,0.16,0.20,0.10,0.26,375,0.16,11.2,3.32,297,0.52,3.45,7.20,0.39,0.03,0.00,0.36,0.13,0.49,0.46,0.00,Spiele
432,Jóan Símun Edmundsson\Joan-Simun-Edmundsson,fo FRO,MFFW,Arminia,29,1991,0.6,3.33,1.67,1.67,1.67,0.00,1.67,1.67,1000,0.00,18.3,5.00,273,3.33,13.3,1.67,0.00,0.00,0.00,0.00,0.00,3.33,1.67,0.00,Spiele
433,Daley Sinkgraven\Daley-Sinkgraven,nl NED,DF,Leverkusen,25,1995,17.4,1.90,1.32,0.80,0.86,0.23,0.92,2.18,421,1.26,12.5,4.66,372,4.71,5.34,2.47,2.76,0.40,0.00,2.36,1.21,3.10,1.67,0.00,Spiele
434,Tobias Sippel\Tobias-Sippel,de GER,TW,M'Gladbach,32,1988,3.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
435,Ellyes Skhiri\Ellyes-Skhiri,tn TUN,MF,Köln,25,1995,30.9,2.85,1.65,1.49,1.13,0.23,1.00,2.14,470,1.13,17.4,5.44,313,7.54,7.77,2.07,2.49,0.52,0.03,1.97,2.72,5.57,1.62,0.06,Spiele
436,Robert Skov\Robert-Skov,dk DEN,FWDF,Hoffenheim,24,1996,12.9,1.78,1.16,0.85,0.62,0.31,0.70,1.55,450,0.85,14.5,5.89,406,3.88,5.19,5.43,1.24,0.23,0.08,1.01,0.93,2.71,0.93,0.00,Spiele
437,Steven Skrzybski\Steven-Skrzybski,de GER,FWDF,Schalke 04,27,1992,4.7,1.49,1.28,0.43,1.06,0.00,0.43,2.34,182,1.91,24.0,5.32,221,6.17,13.2,4.68,2.13,0.21,0.00,1.91,1.06,2.55,0.21,0.00,Spiele
438,Yann Sommer\Yann-Sommer,ch SUI,TW,M'Gladbach,31,1988,30.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.10,0.03,333,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.07,Spiele
439,Borna Sosa\Borna-Sosa,hr CRO,DF,Stuttgart,22,1998,22.7,0.97,0.57,0.48,0.35,0.13,0.40,0.97,409,0.57,7.58,2.60,343,3.61,2.51,1.45,2.03,0.26,0.00,1.76,1.01,1.98,3.39,0.00,Spiele
440,Cebio Soukou\Cebio-Soukou,bj BEN,FWMF,Arminia,27,1992,5.1,1.96,1.18,0.78,0.78,0.39,0.78,1.76,444,0.98,19.6,4.90,250,4.90,8.04,6.67,0.59,0.00,0.00,0.59,0.20,2.16,0.98,0.00,Spiele
441,Djibril Sow\Djibril-Sow,ch SUI,MF,Eint Frankfurt,23,1997,24.2,2.77,1.86,1.16,1.49,0.12,0.74,2.19,340,1.45,22.1,7.19,325,6.90,11.9,3.31,1.94,0.41,0.08,1.53,2.27,5.04,1.32,0.00,Spiele
442,Jerry St. Juste\Jerry-St-Juste,nl NED,DF,Mainz 05,23,1996,32.0,2.25,1.41,1.41,0.66,0.19,0.50,1.22,410,0.72,12.4,4.09,331,6.94,4.53,0.91,2.19,0.81,0.03,1.38,1.91,4.16,4.56,0.00,Spiele
443,Benjamin Stambouli\Benjamin-Stambouli,fr FRA,MFDF,Schalke 04,29,1990,21.7,2.76,2.07,1.47,1.01,0.28,1.06,2.17,489,1.11,12.8,4.65,365,5.94,5.76,1.06,2.26,0.65,0.00,1.61,2.81,5.58,3.13,0.09,Spiele
444,Josip Staniši?\Josip-Stanisic,de GER,DF,Bayern Munich,20,2000,1.0,2.00,1.00,2.00,0.00,0.00,0.00,1.00,00,1.00,15.0,6.00,400,8.00,4.00,3.00,2.00,0.00,0.00,2.00,1.00,3.00,4.00,0.00,Spiele
445,Niklas Stark\Niklas-Stark,de GER,DFMF,Hertha BSC,25,1995,31.0,2.13,1.16,1.10,0.94,0.10,0.35,1.13,314,0.77,13.9,4.35,314,6.77,6.00,1.10,1.87,0.58,0.00,1.29,1.29,3.42,4.71,0.00,Spiele
446,Renato Steffen\Renato-Steffen,ch SUI,FWMF,Wolfsburg,28,1991,17.4,1.49,0.86,0.46,0.80,0.23,0.46,1.67,276,1.21,16.4,4.54,276,4.02,8.45,3.97,1.90,0.17,0.00,1.72,0.75,2.24,0.75,0.00,Spiele
447,Pascal Stenzel\Pascal-Stenzel,de GER,DF,Stuttgart,24,1996,14.2,2.32,1.27,1.20,1.06,0.07,1.34,3.38,396,2.04,13.1,4.08,312,6.69,5.63,0.77,2.32,0.28,0.07,2.04,1.27,3.59,2.96,0.07,Spiele
448,Lars Stindl\Lars-Stindl,de GER,MFFW,M'Gladbach,31,1988,21.8,1.61,1.06,0.32,0.96,0.32,0.37,1.51,242,1.15,21.0,5.37,255,3.58,9.59,7.84,1.24,0.18,0.05,1.06,0.28,1.88,0.96,0.00,Spiele
449,Kevin Stöger\Kevin-Stoger,at AUT,MFFW,Mainz 05,26,1993,6.0,2.33,1.67,0.83,1.00,0.50,0.67,2.67,250,2.00,16.2,5.50,340,4.83,7.00,4.33,1.50,0.00,0.00,1.50,1.83,4.17,1.17,0.00,Spiele
450,Tobias Strobl\Tobias-Strobl,de GER,MF,Augsburg,30,1990,20.5,1.22,0.68,0.59,0.59,0.05,0.59,1.76,333,1.17,15.2,4.83,317,5.22,8.49,1.51,1.66,0.59,0.00,1.07,1.37,2.59,1.46,0.00,Spiele
451,Marek Suchý\Marek-Suchy,cz CZE,DF,Augsburg,32,1988,3.4,1.47,0.88,0.29,1.18,0.00,0.29,0.59,500,0.29,7.65,2.94,385,3.24,4.41,0.00,1.47,1.18,0.29,0.29,0.29,1.76,3.53,0.00,Spiele
452,Niklas Süle\Niklas-Sule,de GER,DF,Bayern Munich,24,1995,16.7,1.98,1.08,1.08,0.66,0.24,0.72,1.44,500,0.72,9.52,3.59,377,4.13,3.77,1.62,1.74,0.66,0.00,1.08,1.26,3.23,2.57,0.06,Spiele
453,Ádám Szalai\Adam-Szalai,hu HUN,FW,Mainz 05,32,1987,8.1,0.86,0.86,0.37,0.25,0.25,0.12,0.74,167,0.62,16.3,5.19,318,1.73,7.41,7.16,0.49,0.12,0.00,0.37,0.37,1.23,0.25,0.00,Spiele
454,Frederik Sørensen\Frederik-Sorensen,dk DEN,DFMF,Köln,28,1992,1.1,1.82,1.82,0.00,1.82,0.00,0.00,1.82,00,1.82,23.6,8.18,346,11.8,8.18,3.64,2.73,0.00,0.00,2.73,0.00,1.82,2.73,0.00,Spiele
455,Alexander Sørloth\Alexander-Sorloth,no NOR,FW,RB Leipzig,24,1995,16.0,0.69,0.44,0.06,0.38,0.25,0.31,1.19,263,0.88,19.7,6.63,337,0.69,7.25,11.8,1.13,0.13,0.00,1.00,0.31,1.00,0.81,0.00,Spiele
456,Jonathan Tah\Jonathan-Tah,de GER,DF,Leverkusen,24,1996,24.7,1.42,0.73,0.93,0.45,0.04,0.53,0.93,565,0.40,8.58,3.04,354,4.33,3.77,0.49,1.82,0.65,0.04,1.17,1.90,3.32,5.10,0.00,Spiele
457,Edmond Tapsoba\Edmond-Tapsoba,bf BFA,DF,Leverkusen,21,1999,29.5,2.17,1.15,1.53,0.61,0.03,0.75,1.76,423,1.02,13.0,4.58,352,6.95,5.15,0.88,2.44,0.88,0.03,1.56,1.66,3.83,5.05,0.07,Spiele
458,Niklas Tauer\Niklas-Tauer,de GER,MFDF,Mainz 05,19,2001,0.8,1.25,0.00,0.00,1.25,0.00,0.00,2.50,00,2.50,16.3,3.75,231,5.00,8.75,2.50,5.00,1.25,0.00,3.75,0.00,1.25,6.25,0.00,Spiele
459,Lino Tempelmann\Lino-Tempelmann,de GER,MFDF,Freiburg,21,1999,3.0,1.67,1.00,0.67,1.00,0.00,0.00,0.67,00,0.67,21.0,5.33,254,8.00,12.0,1.00,2.67,0.33,0.00,2.33,0.00,1.67,2.33,0.00,Spiele
460,Cedric Teuchert\Cedric-Teuchert,de GER,FWMF,Union Berlin,23,1997,8.4,1.19,0.83,0.12,0.95,0.12,0.24,2.02,118,1.79,21.0,6.07,290,2.98,11.5,6.43,1.67,0.00,0.00,1.67,1.31,2.50,0.71,0.00,Spiele
461,Malick Thiaw\Malick-Thiaw,de GER,DF,Schalke 04,18,2001,16.1,2.92,1.24,1.68,1.12,0.12,0.93,1.86,500,0.93,13.8,4.04,293,7.20,5.84,0.75,1.80,0.87,0.00,0.93,2.05,4.97,4.97,0.00,Spiele
462,Jan Thielmann\Jan-Thielmann,de GER,FWMF,Köln,18,2002,11.4,1.58,1.05,0.35,0.79,0.44,0.18,0.61,286,0.44,18.1,5.18,286,2.54,8.86,6.67,1.05,0.09,0.00,0.96,0.70,2.28,0.35,0.00,Spiele
463,Erik Thommy\Erik-Thommy,de GER,DFFW,Stuttgart,25,1994,3.5,1.14,0.00,0.00,0.86,0.29,0.29,1.14,250,0.86,16.3,3.71,228,4.57,6.29,5.43,1.71,0.00,0.00,1.71,2.00,3.14,1.43,0.00,Spiele
464,Marcus Thuram\Marcus-Thuram,fr FRA,FW,M'Gladbach,22,1997,19.2,1.15,0.83,0.52,0.31,0.31,0.26,0.94,278,0.68,17.1,5.05,296,2.71,8.18,6.20,1.77,0.16,0.00,1.61,1.04,2.19,0.73,0.00,Spiele
465,Steffen Tigges\Steffen-Tigges,de GER,FWDF,Dortmund,22,1998,0.6,6.67,5.00,0.00,1.67,5.00,3.33,5.00,667,1.67,38.3,10.0,261,5.00,20.0,13.3,5.00,0.00,0.00,5.00,0.00,6.67,1.67,0.00,Spiele
466,Guus Til\Guus-Til,nl NED,FW,Freiburg,22,1997,1.4,2.86,0.71,1.43,0.71,0.71,1.43,2.86,500,1.43,27.1,6.43,237,5.71,7.86,13.6,1.43,0.00,0.00,1.43,0.71,3.57,1.43,0.00,Spiele
467,Corentin Tolisso\Corentin-Tolisso,fr FRA,MF,Bayern Munich,25,1994,8.7,1.95,1.38,0.34,1.49,0.11,0.92,2.87,320,1.95,17.7,4.37,247,3.68,10.0,4.02,1.95,0.11,0.00,1.84,0.34,2.30,1.15,0.00,Spiele
468,Ömer Toprak\Omer-Toprak,tr TUR,DF,Werder Bremen,31,1989,21.6,1.44,0.60,0.93,0.46,0.05,0.46,1.11,417,0.65,7.55,2.45,325,4.40,2.78,0.37,1.90,0.74,0.00,1.16,2.36,3.80,6.57,0.09,Spiele
469,Jordan Torunarigha\Jordan-Torunarigha,de GER,DF,Hertha BSC,22,1997,10.8,1.20,0.65,1.02,0.09,0.09,0.37,1.02,364,0.65,10.7,2.96,276,6.57,3.24,0.93,1.57,0.19,0.00,1.39,1.85,3.06,6.48,0.37,Spiele
470,Almamy Touré\Almamy-Toure,ml MLI,DF,Eint Frankfurt,24,1996,7.8,2.05,1.67,0.77,0.77,0.51,1.03,2.05,500,1.03,15.0,4.74,316,4.62,6.03,4.36,1.92,0.13,0.00,1.79,1.41,3.46,2.56,0.13,Spiele
471,Lucas Tousart\Lucas-Tousart,fr FRA,MF,Hertha BSC,23,1997,23.2,2.20,1.55,1.12,0.95,0.13,0.56,1.42,394,0.86,19.3,6.68,347,6.51,10.3,2.41,2.33,0.30,0.00,2.03,1.81,4.01,3.36,0.09,Spiele
472,Ibrahima Traoré\Ibrahima-Traore,gn GUI,FWDF,M'Gladbach,32,1988,1.1,1.82,0.91,0.91,0.91,0.00,0.91,2.73,333,1.82,20.0,7.27,364,4.55,9.09,6.36,1.82,0.00,0.00,1.82,0.00,1.82,0.00,0.00,Spiele
473,Kevin Trapp\Kevin-Trapp,de GER,TW,Eint Frankfurt,30,1990,33.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,00,0.03,0.15,0.03,200,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.09,Spiele
474,Christopher Trimmel\Christopher-Trimmel,at AUT,DF,Union Berlin,33,1987,28.6,2.03,1.15,1.40,0.49,0.14,0.77,1.75,440,0.98,11.6,3.78,326,5.73,4.41,1.43,1.61,0.31,0.00,1.29,2.03,4.06,3.18,0.00,Spiele
475,Tuta\Tuta,br BRA,DF,Eint Frankfurt,21,1999,16.2,1.98,0.86,1.11,0.80,0.06,0.74,2.35,316,1.60,14.2,4.20,296,6.91,5.74,1.54,1.98,0.19,0.00,1.79,1.91,3.89,4.38,0.06,Spiele
476,Dayot Upamecano\Dayot-Upamecano,fr FRA,DF,RB Leipzig,21,1998,25.9,1.97,1.20,1.16,0.77,0.04,0.54,1.00,538,0.46,11.1,4.40,397,5.02,5.56,0.50,1.54,0.54,0.00,1.00,1.43,3.40,3.67,0.00,Spiele
477,Mark Uth\Mark-Uth,de GER,FWMF,Schalke 04,28,1991,16.6,1.63,1.14,0.84,0.42,0.36,0.30,1.57,192,1.27,19.6,5.12,262,4.34,10.2,5.06,1.08,0.00,0.00,1.08,0.84,2.47,0.36,0.06,Spiele
478,Ruben Vargas\Ruben-Vargas,ch SUI,MFFW,Augsburg,21,1998,17.9,1.28,0.73,0.45,0.73,0.11,0.22,1.17,190,0.95,14.9,4.97,333,3.80,6.87,4.25,2.18,0.17,0.00,2.01,1.56,2.85,1.12,0.06,Spiele
479,Miloš Veljkovi?\Milos-Veljkovic,rs SRB,DF,Werder Bremen,24,1995,19.1,0.94,0.84,0.79,0.10,0.05,0.31,1.68,188,1.36,10.4,3.40,327,6.44,3.40,0.58,2.20,0.68,0.00,1.52,1.62,2.57,6.65,0.00,Spiele
480,Michel Vlap\Michel-Vlap,nl NED,MFFW,Arminia,23,1997,4.1,0.24,0.24,0.00,0.24,0.00,0.00,1.95,00,1.95,24.1,4.39,182,3.41,13.2,7.56,1.22,0.00,0.00,1.22,0.98,1.22,0.73,0.00,Spiele
481,Andreas Voglsammer\Andreas-Voglsammer,de GER,FWMF,Arminia,28,1992,11.1,0.99,0.81,0.54,0.27,0.18,0.27,1.71,158,1.44,16.6,4.50,272,2.34,8.74,5.50,1.35,0.09,0.00,1.26,0.45,1.44,0.90,0.00,Spiele
482,Kevin Vogt\Kevin-Vogt,de GER,DF,Hoffenheim,28,1991,20.5,1.27,0.83,0.88,0.39,0.00,0.54,1.02,524,0.49,8.05,2.98,370,4.68,3.12,0.24,1.17,0.54,0.05,0.63,0.54,1.80,4.34,0.05,Spiele
483,Wout Weghorst\Wout-Weghorst,nl NED,FW,Wolfsburg,27,1992,32.7,0.40,0.37,0.06,0.21,0.12,0.12,0.49,250,0.37,17.8,5.38,303,0.83,6.61,10.3,0.61,0.15,0.00,0.46,0.18,0.58,0.76,0.03,Spiele
484,Mitchell Weiser\Mitchell-Weiser,de GER,DF,Leverkusen,26,1994,2.5,1.60,0.80,0.40,0.80,0.40,0.80,2.00,400,1.20,18.8,7.20,383,6.00,9.20,3.60,0.80,0.00,0.00,0.80,0.80,2.40,3.20,0.00,Spiele
485,Wendell\Wendell,br BRA,DF,Leverkusen,27,1993,16.2,3.33,1.85,1.67,1.05,0.62,0.86,2.65,326,1.79,14.9,5.56,373,6.23,6.23,2.41,2.16,0.19,0.06,1.98,2.47,5.80,3.27,0.00,Spiele
486,Oscar Wendt\Oscar-Wendt,se SWE,DF,M'Gladbach,34,1985,13.9,1.08,0.36,0.36,0.58,0.14,0.29,0.94,308,0.65,6.91,2.37,344,2.45,3.17,1.29,2.23,0.43,0.00,1.80,1.08,2.16,2.66,0.00,Spiele
487,William\William,br BRA,FW,Wolfsburg,25,1995,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Spiele
488,William\William,br BRA,DFFW,Schalke 04,25,1995,5.3,3.58,1.70,2.45,0.94,0.19,1.70,4.53,375,2.83,19.2,4.72,245,11.9,6.04,1.32,3.02,0.75,0.00,2.26,2.64,6.23,2.45,0.00,Spiele
489,Marten Winkler\Marten-Winkler,de GER,FW,Hertha BSC,17,2002,0.0,0,0,0,0,0,0,0,,0,2,0,00,0,2,0,0,0,0,0,0,0,0,0,Spiele
490,Florian Wirtz\Florian-Wirtz,de GER,MF,Leverkusen,17,2003,24.7,1.01,0.73,0.40,0.53,0.08,0.28,1.42,200,1.13,20.2,6.28,310,2.71,10.6,6.88,1.38,0.12,0.00,1.26,0.81,1.82,0.12,0.04,Spiele
