Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Tkl,TklG,Def. 1/3,Mit. 1/3,Off. 1/3,Tkl,Ver,Tkl%,Ausg,Pressen,Erf.,%,Def. 1/3,Mit. 1/3,Off. 1/3,Blocks,Sc,Schuss abgewehrt,Pass,Abg,Ang+Abf,Aufkl.,Fe.,Spiele
59,Melayro Bogarde\Melayro-Bogarde,nl NED,DFMF,Hoffenheim,18,2002,3.1,2.26,1.61,0.65,1.29,0.32,1.29,3.55,364,2.26,15.2,5.48,362,7.74,5.81,1.61,0.65,0.00,0.00,0.65,0.97,3.23,1.94,0.00,Spiele
60,Elias Bördner\Elias-Bordner,de GER,TW,Eint Frankfurt,18,2002,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
61,Dennis Borkowski\Dennis-Borkowski,de GER,MFFW,RB Leipzig,18,2002,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,20.0,10.0,500,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
62,Sebastiaan Bornauw\Sebastiaan-Bornauw,be BEL,DF,Köln,21,1999,23.1,1.60,0.87,1.30,0.30,0.00,0.65,1.17,556,0.52,8.61,3.42,397,5.76,2.51,0.35,2.08,1.21,0.04,0.87,1.04,2.64,5.93,0.00,Spiele
63,Nassim Boujellab\Nassim-Boujellab,ma MAR,MFFW,Schalke 04,21,1999,6.7,2.54,1.94,0.75,1.64,0.15,0.15,1.19,125,1.04,25.4,7.16,282,4.63,11.6,9.10,2.39,0.45,0.00,1.94,0.90,3.43,1.49,0.15,Spiele
64,Dedryck Boyata\Dedryck-Boyata,be BEL,DF,Hertha BSC,29,1990,17.2,0.99,0.47,0.58,0.35,0.06,0.23,0.70,333,0.47,5.23,1.69,322,3.55,1.69,0.00,2.09,1.28,0.12,0.81,0.99,1.98,4.65,0.12,Spiele
65,Can Bozdogan\Can-Bozdogan,de GER,MF,Schalke 04,19,2001,7.2,3.61,2.64,1.67,1.67,0.28,1.25,2.78,450,1.53,32.1,8.89,277,10.8,17.1,4.17,2.22,0.28,0.00,1.94,0.69,4.31,0.69,0.00,Spiele
66,Julian Brandt\Julian-Brandt,de GER,FWMF,Dortmund,24,1996,16.6,1.87,1.02,0.96,0.72,0.18,0.90,2.41,375,1.51,19.0,6.02,317,5.12,9.40,4.46,1.63,0.06,0.00,1.57,0.84,2.71,0.42,0.00,Spiele
67,Fabian Bredlow\Fabian-Bredlow,de GER,TW,Stuttgart,25,1995,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spiele
68,Josip Brekalo\Josip-Brekalo,hr CRO,FW,Wolfsburg,22,1998,20.2,1.19,0.79,0.64,0.40,0.15,0.35,1.39,250,1.04,16.7,5.35,320,3.91,7.77,5.00,1.14,0.00,0.00,1.14,0.89,2.08,0.30,0.00,Spiele
69,Joshua Brenet\Joshua-Brenet,nl NED,DF,Hoffenheim,26,1994,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Spiele
70,John Brooks\John-Brooks,us USA,DF,Wolfsburg,27,1993,30.8,1.92,1.20,1.40,0.52,0.00,0.97,2.14,455,1.17,9.06,3.67,405,5.19,3.60,0.26,2.05,0.45,0.00,1.59,1.66,3.57,6.14,0.06,Spiele
71,Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,32,1988,15.9,1.19,0.44,0.63,0.50,0.06,0.75,2.39,316,1.64,8.93,2.70,303,3.14,4.28,1.51,2.14,0.13,0.00,2.01,0.82,2.01,2.52,0.00,Spiele
