Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,Vol,Ver,Vol%,GesEntf,ProgEntf,Vol,Ver,Vol%,Vol,Ver,Vol%,Vol,Ver,Vol%,Vor,xA,A-xA,WP,1/3,PPA,FlkSr,Fortschr.,Spiele
81,Koen Casteels\Koen-Casteels,be BEL,TW,Wolfsburg,28,1992,32.0,29.3,39.0,752,928.0,543.4,3.50,3.50,1000,13.8,13.9,998,12.0,21.6,555,0.00,0.00,0.00,0.03,0.31,0.00,0.00,0.00,Spiele
82,Gonzalo Castro\Gonzalo-Castro,de GER,MFFW,Stuttgart,33,1987,19.2,35.2,47.1,746,641.6,213.4,15.8,18.1,874,13.3,16.8,795,4.90,9.11,537,0.10,0.16,-0.05,2.24,3.18,1.61,0.05,4.69,Spiele
83,Sava Cestic\Sava-Cestic,rs SRB,DF,Köln,19,2001,10.0,30.7,40.5,758,715.8,253.2,5.40,7.10,761,18.9,21.2,892,6.00,11.4,526,0.00,0.01,-0.01,0.20,1.60,0.10,0.00,2.40,Spiele
84,Timothy Chandler\Timothy-Chandler,us USA,DF,Eint Frankfurt,30,1990,4.8,31.9,44.6,715,558.5,242.9,15.2,17.7,859,13.1,19.0,692,3.13,6.25,500,0.00,0.06,-0.06,0.83,2.92,1.04,0.21,5.42,Spiele
85,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,MFFW,Freiburg,26,1994,2.4,22.5,29.6,761,362.9,85.8,13.3,15.0,889,7.08,9.17,773,1.67,3.75,444,0.00,0.00,0.00,0.42,1.25,0.00,0.00,2.92,Spiele
86,Tahith Chong\Tahith-Chong,nl NED,FWMF,Werder Bremen,20,1999,4.3,20.0,31.6,632,321.6,109.1,11.6,16.0,725,5.35,8.37,639,2.09,3.26,643,0.23,0.12,0.12,1.16,1.63,0.70,0.47,1.63,Spiele
87,Darko Churlinov\Darko-Churlinov,mk MKD,DFFW,Stuttgart,20,2000,2.4,33.8,41.3,818,516.3,135.4,18.8,20.4,918,12.1,14.6,829,2.50,5.00,500,0.42,0.17,0.25,0.83,0.42,2.50,0.42,4.17,Spiele
88,Tim Civeja\Tim-Civeja,de GER,MFDF,Augsburg,18,2002,0.4,40.0,60.0,667,765.0,220.0,20.0,30.0,667,7.50,15.0,500,12.5,12.5,1000,0.00,0.00,0.00,0.00,2.50,0.00,0.00,5.00,Spiele
89,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,24,1996,19.5,34.9,43.9,794,618.9,113.9,17.3,20.1,862,13.4,16.5,811,3.85,5.49,701,0.51,0.34,0.17,2.21,1.03,2.00,0.82,3.23,Spiele
90,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Hertha BSC,27,1993,17.1,14.3,18.7,763,233.9,29.1,7.19,8.71,826,4.85,6.43,755,1.52,1.81,839,0.06,0.11,-0.05,1.35,0.64,0.29,0.18,0.82,Spiele
91,Sergio Córdova\Sergio-Cordova,ve VEN,FWMF,Arminia,22,1997,12.1,14.9,22.1,674,216.4,53.4,8.68,10.7,808,4.30,6.61,650,1.07,2.15,500,0.08,0.10,-0.02,1.24,1.49,0.17,0.00,1.57,Spiele
92,Danny da Costa\Danny-da-Costa,de GER,DF,Mainz 05,27,1993,13.4,23.2,38.2,607,509.9,273.9,7.16,9.55,750,11.6,18.1,645,4.33,9.18,472,0.07,0.13,-0.05,1.04,2.16,1.57,0.52,4.25,Spiele
93,Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,27,1993,1.2,28.3,40.8,694,461.7,245.0,13.3,15.8,842,12.5,17.5,714,2.50,5.00,500,0.00,0.00,0.00,0.00,1.67,2.50,0.83,5.00,Spiele
94,Douglas Costa\Douglas-Costa,br BRA,FWMF,Bayern Munich,29,1990,3.6,35.8,51.9,690,695.8,224.4,15.3,19.2,797,12.2,15.8,772,7.22,11.7,619,0.28,0.19,0.08,1.67,3.89,1.94,0.28,5.56,Spiele
